Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth,100,0,640.0,648.7924908200014,573.1083760001638,767.4613190001764,27.0,0.28946653571967546,0.0,640,670,680,710,720,720,760,770,770,770,770
GET,/booking,3731,0,390.0,385.2288671267831,130.04657200008296,10141.419929999756,47914.01259715894,10.79999644770109,0.0,390,400,400,400,410,530,750,910,4100,10000,10000
POST,/booking,3713,1,130.0,156.4076952033415,128.47100899989528,8136.604567000177,196.91677888499865,10.747892471271548,0.002894665357196754,130,130,130,130,140,140,170,560,4100,8100,8100
GET,/booking/1,7735,0,130.0,157.19962475811042,128.41876799984675,6134.07672600033,150.51234647705235,22.390236537916895,0.0,130,130,130,140,140,140,200,590,4100,6100,6100
,Aggregated,15279,1,130.0,215.90739067517657,128.41876799984675,10141.419929999756,11824.415603115387,44.227591992609206,0.002894665357196754,130,140,160,270,400,410,600,770,4100,10000,10000
