Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1747498131,100,,Aggregated,46.700000,0.000000,130,150,390,400,530,640,710,720,800,900,900,1093,0,130.0,239.0891495132641,128.91924699988522,899.54845200009,10555.827081427264
1747498132,100,,Aggregated,45.900000,0.000000,130,150,390,400,490,640,710,720,800,900,900,1130,0,130.0,236.51130914955556,128.91924699988522,899.54845200009,10419.461946902655
1747498133,100,,Aggregated,45.300000,0.000000,130,140,390,400,440,640,710,720,800,900,900,1179,0,130.0,234.9155125453745,128.65489199975855,899.54845200009,10581.346055979644
1747498134,100,,Aggregated,45.900000,0.000000,130,140,390,400,430,640,710,720,800,900,900,1220,0,130.0,233.0277404418008,128.65489199975855,899.54845200009,10565.162295081967
1747498135,100,,Aggregated,45.300000,0.000000,130,140,390,400,420,640,710,720,800,900,900,1267,0,130.0,231.83201851538874,128.65489199975855,899.54845200009,10733.367008681926
1747498136,100,,Aggregated,45.600000,0.000000,130,140,390,400,410,630,710,720,800,900,900,1317,0,130.0,231.15303929764588,128.65489199975855,899.54845200009,10956.74715261959
1747498137,100,,Aggregated,44.800000,0.000000,130,140,390,400,410,630,710,720,830,900,900,1357,0,130.0,230.28766359027168,128.65489199975855,899.54845200009,10943.861459100957
1747498138,100,,Aggregated,44.500000,0.000000,130,140,390,400,410,630,700,720,830,900,900,1403,0,130.0,228.9592471610835,128.65489199975855,899.54845200009,11014.373485388453
1747498139,100,,Aggregated,46.000000,0.000000,130,140,390,400,410,620,700,720,830,900,900,1450,0,130.0,227.64466065448372,128.65489199975855,899.54845200009,11075.06
1747498140,100,,Aggregated,45.700000,0.000000,130,140,390,400,410,610,690,720,830,900,900,1498,0,130.0,226.9786693678246,128.64131900005304,899.54845200009,11247.43925233645
1747498141,100,,Aggregated,45.500000,0.000000,130,140,390,390,400,610,680,720,830,900,900,1538,0,130.0,226.3804985890771,128.64131900005304,899.54845200009,11391.710663198959
1747498142,100,,Aggregated,45.800000,0.000000,130,140,390,390,400,600,680,720,830,900,900,1584,0,130.0,225.66433344065794,128.64131900005304,899.54845200009,11525.955808080807
1747498143,100,,Aggregated,45.700000,0.000000,130,140,390,390,400,600,680,710,830,900,900,1625,0,130.0,224.98014953784738,128.64131900005304,899.54845200009,11576.718153846154
1747498144,100,,Aggregated,45.800000,0.000000,130,140,390,390,400,600,680,710,830,900,900,1679,0,130.0,223.85827570279906,128.64131900005304,899.54845200009,11610.902918403812
1747498145,100,,Aggregated,44.000000,0.000000,130,140,390,390,400,600,680,710,830,900,900,1711,0,130.0,222.90386889363037,128.64131900005304,899.54845200009,11576.72764465225
1747498146,100,,Aggregated,45.700000,0.000000,130,140,390,390,400,600,680,710,830,900,900,1757,0,130.0,223.03945684689876,128.64131900005304,899.54845200009,11840.575981787137
1747498147,100,,Aggregated,46.000000,0.000000,130,140,390,390,400,600,680,710,830,900,900,1810,0,130.0,222.1878973165762,128.64131900005304,899.54845200009,11876.368508287293
1747498148,100,,Aggregated,44.700000,0.000000,130,140,390,390,400,600,680,710,830,900,900,1848,0,130.0,221.04265911255527,128.41876799984675,899.54845200009,11804.800865800866
1747498149,100,,Aggregated,44.700000,0.000000,130,140,390,390,400,590,670,710,830,900,900,1901,0,130.0,219.68119513940093,128.41876799984675,899.54845200009,11745.07417148869
